72D (j=3/2),454.4773367,659.6422611
74S (j=1/2),454.4761839,659.6439344
74P (j=1/2),454.4705290,659.6521422
74P (j=3/2),454.4704904,659.6521982
73D (j=5/2),454.4653092,659.6597186
73D (j=3/2),454.4653029,659.6597278
75S (j=1/2),454.4641982,659.6613313
75P (j=1/2),454.4587725,659.6692069
75P (j=3/2),454.4587353,659.6692608
74D (j=5/2),454.4537623,659.6764795
74D (j=3/2),454.4537560,659.6764886
76S (j=1/2),454.4526969,659.6780260
76P (j=1/2),454.4474881,659.6855871
76P (j=3/2),454.4474524,659.6856390
75D (j=5/2),454.4426764,659.6925720
75D (j=3/2),454.4426702,659.6925809
77S (j=1/2),454.4416542,659.6940559
77P (j=1/2),454.4366509,659.7013190
77P (j=3/2),454.4366165,659.7013689
76D (j=5/2),454.4320273,659.7080312
76D (j=3/2),454.4320212,659.7080400
78S (j=1/2),454.4310461,659.7094556
78P (j=1/2),454.4262376,659.7164362
78P (j=3/2),454.4262045,659.7164843
77D (j=5/2),454.4217923,659.7228898
77D (j=3/2),454.4217863,659.7228985
79S (j=1/2),454.4208500,659.7242579
79P (j=1/2),454.4162264,659.7309704
79P (j=3/2),454.4161944,659.7310168
78D (j=5/2),454.4119503,659.7371786
78D (j=3/2),454.4119443,659.7371872
80S (j=1/2),454.4110448,659.7384932
80P (j=1/2),454.4065967,659.7449513
80P (j=3/2),454.4065659,659.7449960
79D (j=5/2),454.4024813,659.7509264
79D (j=3/2),454.4024754,659.7509349
81S (j=1/2),454.4016109,659.7521901
81P (j=1/2),454.3973295,659.7584064
81P (j=3/2),454.3972998,659.7584496
80D (j=5/2),454.3933668,659.7641601
80D (j=3/2),454.3933610,659.7641685
82S (j=1/2),454.3925297,659.7653755
82P (j=1/2),454.3884068,659.7713620
82P (j=3/2),454.3883781,659.7714037
81D (j=5/2),454.3845893,659.7769050
81D (j=3/2),454.3845835,659.7769134
83S (j=1/2),454.3837839,659.7780745
83P (j=1/2),454.3798117,659.7838423
83P (j=3/2),454.3797839,659.7838826
82D (j=5/2),454.3761323,659.7891850
82D (j=3/2),454.3761266,659.7891932
84S (j=1/2),454.3753571,659.7903107
84P (j=1/2),454.3715283,659.7958704
84P (j=3/2),454.3715015,659.7959093
83D (j=5/2),454.3679805,659.8010223
83D (j=3/2),454.3679748,659.8010304
85S (j=1/2),454.3672339,659.8021063
85P (j=1/2),454.3635418,659.8074679
85P (j=3/2),454.3635159,659.8075055
84D (j=5/2),454.3601193,659.8124380
84D (j=3/2),454.3601137,659.8124461
86S (j=1/2),454.3594001,659.8134823
86P (j=1/2),454.3558381,659.8186550
86P (j=3/2),454.3558131,659.8186914
85D (j=5/2),454.3525350,659.8234518
85D (j=3/2),454.3525295,659.8234598
87S (j=1/2),454.3518419,659.8244583
87P (j=1/2),454.3484041,659.8294509
87P (j=3/2),454.3483798,659.8294862
86D (j=5/2),454.3452149,659.8340825
86D (j=3/2),454.3452094,659.8340904
88S (j=1/2),454.3445467,659.8350529
88P (j=1/2),454.3412273,659.8398736
88P (j=3/2),454.3412038,659.8399078
87D (j=5/2),454.3381468,659.8443475
87D (j=3/2),454.3381413,659.8443554
89S (j=1/2),454.3375023,659.8452835
89P (j=1/2),454.3342960,659.8499402
89P (j=3/2),454.3342732,659.8499733
88D (j=5/2),454.3313192,659.8542635
88D (j=3/2),454.3313138,659.8542714
90S (j=1/2),454.3306974,659.8551666
90P (j=1/2),454.3275990,659.8596666
90P (j=3/2),454.3275769,659.8596987
89D (j=5/2),454.3247213,659.8638461
89D (j=3/2),454.3247160,659.8638539
91S (j=1/2),454.3241212,659.8647177
91P (j=1/2),454.3211260,659.8690681
91P (j=3/2),454.3211045,659.8690992
90D (j=5/2),454.3183430,659.8731101
90D (j=3/2),454.3183377,659.8731178
92S (j=1/2),454.3177636,659.8739517
92P (j=1/2),454.3148670,659.8781589
92P (j=3/2),454.3148462,659.8781891
91D (j=5/2),454.3121747,659.8820695
91D (j=3/2),454.3121694,659.8820771
93S (j=1/2),454.3116151,659.8828823
93P (j=1/2),454.3088128,659.8869526
93P (j=3/2),454.3087926,659.8869819
92D (j=5/2),454.3062071,659.8907374
92D (j=3/2),454.3062019,659.8907450
94S (j=1/2),454.3056665,659.8915227
94P (j=1/2),454.3029545,659.8954619
94P (j=3/2),454.3029349,659.8954904
93D (j=5/2),454.3004317,659.8991264
93D (j=3/2),454.3004265,659.8991339
95S (j=1/2),454.2999092,659.8998853
95P (j=1/2),454.2972837,659.9036991
95P (j=3/2),454.2972646,659.9037268
94D (j=5/2),454.2948404,659.9072483
94D (j=3/2),454.2948352,659.9072558
96S (j=1/2),454.2943353,659.9079820
96P (j=1/2),454.2917925,659.9116756
96P (j=3/2),454.2917740,659.9117025
95D (j=5/2),454.2894253,659.9151143
95D (j=3/2),454.2894201,659.9151217
97S (j=1/2),454.2889368,659.9158238
97P (j=1/2),454.2864734,659.9194023
97P (j=3/2),454.2864554,659.9194285
96D (j=5/2),454.2841791,659.9227351
96D (j=3/2),454.2841740,659.9227425
98S (j=1/2),454.2837067,659.9234214
98P (j=1/2),454.2813193,659.9268895
98P (j=3/2),454.2813018,659.9269149
97D (j=5/2),454.2790950,659.9301207
97D (j=3/2),454.2790899,659.9301281
99S (j=1/2),454.2786378,659.9307848
99P (j=1/2),454.2763234,659.9341470
99P (j=3/2),454.2763064,659.9341717
98D (j=5/2),454.2741662,659.9372808
98D (j=3/2),454.2741612,659.9372881
100S (j=1/2),454.2737238,659.9379236
100P (j=1/2),454.2714794,659.9411841
100P (j=3/2),454.2714628,659.9412082
99D (j=5/2),454.2693866,659.9442244
99D (j=3/2),454.2693816,659.9442317
101S (j=1/2),454.2689582,659.9448467
101P (j=1/2),454.2667810,659.9480096
101P (j=3/2),454.2667649,659.9480331
100D (j=5/2),454.2647501,659.9509602
100D (j=3/2),454.2647451,659.9509674
102S (j=1/2),454.2643353,659.9515628
102P (j=1/2),454.2622227,659.9546320
102P (j=3/2),454.2622069,659.9546549
101D (j=5/2),454.2602511,659.9574963
101D (j=3/2),454.2602461,659.9575035
103S (j=1/2),454.2598493,659.9580800
103P (j=1/2),454.2577987,659.9610592
103P (j=3/2),454.2577834,659.9610815
102D (j=5/2),454.2558842,659.9638407
102D (j=3/2),454.2558793,659.9638478
104S (j=1/2),454.2554950,659.9644062
104P (j=1/2),454.2535040,659.9672988
104P (j=3/2),454.2534890,659.9673206
103D (j=5/2),454.2516444,659.9700006
103D (j=3/2),454.2516394,659.9700077
105S (j=1/2),454.2512671,659.9705487
105P (j=1/2),454.2493334,659.9733581
105P (j=3/2),454.2493188,659.9733793
104D (j=5/2),454.2475266,659.9759833
104D (j=3/2),454.2475217,659.9759904
106S (j=1/2),454.2471609,659.9765145
106P (j=1/2),454.2452824,659.9792439
106P (j=3/2),454.2452681,659.9792646
105D (j=5/2),454.2435263,659.9817953
105D (j=3/2),454.2435214,659.9818024
107S (j=1/2),454.2431717,659.9823105
107P (j=1/2),454.2413462,659.9849628
107P (j=3/2),454.2413324,659.9849830
106D (j=5/2),454.2396390,659.9874433
106D (j=3/2),454.2396342,659.9874503
108S (j=1/2),454.2392952,659.9879428
108P (j=1/2),454.2375208,659.9905210
